Name,Industry,Sector,,Name,Industry
KCAR ,FINCIAL,FIN,,CGD,#N/A
KGI ,FINCIAL,FIN,,CGH,#N/A
KTC ,FINCIAL,FIN,,CHAYO,#N/A
MBKET ,FINCIAL,FIN,,CHEWA,#N/A
MFC ,FINCIAL,FIN,,CHG,#N/A
ML ,FINCIAL,FIN,,CHO,#N/A
MTC ,FINCIAL,FIN,,CHOW,#N/A
PE ,FINCIAL,FIN,,CI,#N/A
PL ,FINCIAL,FIN,,CIG,#N/A
S11 ,FINCIAL,FIN,,CIMBT,#N/A
SAWAD ,FINCIAL,FIN,,CITY,#N/A
THANI ,FINCIAL,FIN,,CK,#N/A
TK ,FINCIAL,FIN,,CKP,#N/A
TNITY ,FINCIAL,FIN,,CM,AGRO
UOBKH ,FINCIAL,FIN,,CMAN,#N/A
ZMICO ,FINCIAL,FIN,,CMC,#N/A
AYUD ,FINCIAL,INSUR,,CMO,#N/A
BKI ,FINCIAL,INSUR,,CMR,#N/A
BLA ,FINCIAL,INSUR,,CNS,#N/A
BUI ,FINCIAL,INSUR,,CNT,#N/A
CHARAN ,FINCIAL,INSUR,,COL,#N/A
INSURE ,FINCIAL,INSUR,,COLOR,#N/A
MTI ,FINCIAL,INSUR,,COM7,#N/A
NKI ,FINCIAL,INSUR,,COMAN,#N/A
NSI ,FINCIAL,INSUR,,COTTO,#N/A
SEG ,FINCIAL,INSUR,,CPALL,#N/A
SMK ,FINCIAL,INSUR,,CPF,AGRO
THRE ,FINCIAL,INSUR,,CPH,#N/A
THREL ,FINCIAL,INSUR,,CPI,AGRO
TIP ,FINCIAL,INSUR,,CPL,#N/A
TQM ,FINCIAL,INSUR,,CPN,#N/A
TSI ,FINCIAL,INSUR,,CPNCG,#N/A
TVI ,FINCIAL,INSUR,,CPNREIT,#N/A
AH ,INDUS,AUTO,,CPR,#N/A
APCS ,INDUS,AUTO,,CPT,#N/A
BAT-3K ,INDUS,AUTO,,CPTGF,#N/A
CWT ,INDUS,AUTO,,CRANE,#N/A
EASON ,INDUS,AUTO,,CRD,#N/A
GYT ,INDUS,AUTO,,CRYSTAL,#N/A
HFT ,INDUS,AUTO,,CSC,#N/A
IHL ,INDUS,AUTO,,CSP,#N/A
INGRS ,INDUS,AUTO,,CSS,#N/A
IRC ,INDUS,AUTO,,CTARAF,#N/A
PCSGH ,INDUS,AUTO,,CTW,#N/A
SAT ,INDUS,AUTO,,CWT,#N/A
SPG ,INDUS,AUTO,,D,#N/A
STANLY ,INDUS,AUTO,,DCC,#N/A
TKT ,INDUS,AUTO,,DCON,#N/A
TNPC ,INDUS,AUTO,,DCORP,#N/A
TRU ,INDUS,AUTO,,DDD,#N/A
TSC ,INDUS,AUTO,,DELTA,#N/A
ALLA ,INDUS,IMM,,DEMCO,#N/A
ASEFA ,INDUS,IMM,,DIF,#N/A
CPT ,INDUS,IMM,,DIGI,#N/A
CRANE ,INDUS,IMM,,DIMET,#N/A
CTW ,INDUS,IMM,,DNA,#N/A
FMT ,INDUS,IMM,,DOD,#N/A
HTECH ,INDUS,IMM,,DREIT,#N/A
KKC ,INDUS,IMM,,DRT,#N/A
PK ,INDUS,IMM,,DTAC,#N/A
SNC ,INDUS,IMM,,DTC,#N/A
STARK ,INDUS,IMM,,DTCI,#N/A
TCJ ,INDUS,IMM,,EA,#N/A
VARO ,INDUS,IMM,,EASON,#N/A
UTP ,INDUS,PAPER,,EASTW,#N/A
BCT ,INDUS,PETRO,,ECF,#N/A
CMAN ,INDUS,PETRO,,ECL,#N/A
GC ,INDUS,PETRO,,EE,AGRO
GGC ,INDUS,PETRO,,EFORL,#N/A
GIFT ,INDUS,PETRO,,EGATIF,#N/A
IVL ,INDUS,PETRO,,EGCO,#N/A
NFC ,INDUS,PETRO,,EIC,#N/A
PATO ,INDUS,PETRO,,EKH,#N/A
PMTA ,INDUS,PETRO,,EMC,#N/A
PTTGC ,INDUS,PETRO,,EPCO,#N/A
SUTHA ,INDUS,PETRO,,EPG,#N/A
TCCC ,INDUS,PETRO,,ERW,#N/A
TPA ,INDUS,PETRO,,ERWPF,#N/A
UP ,INDUS,PETRO,,ESSO,#N/A
VNT ,INDUS,PETRO,,ESTAR,#N/A
WG ,INDUS,PETRO,,ETE,#N/A
YCI ,INDUS,PETRO,,EVER,#N/A
AJ ,INDUS,PKG,,F&D,AGRO
ALUCON ,INDUS,PKG,,FANCY,#N/A
BGC ,INDUS,PKG,,FC,#N/A
CSC ,INDUS,PKG,,FLOYD,#N/A
GLOCON ,INDUS,PKG,,FN,#N/A
NEP ,INDUS,PKG,,FNS,#N/A
PTL ,INDUS,PKG,,FOCUS,#N/A
SITHAI ,INDUS,PKG,,FORTH,#N/A
SLP ,INDUS,PKG,,FPI,#N/A
SMPC ,INDUS,PKG,,FSMART,#N/A
SPACK ,INDUS,PKG,,FSS,#N/A
TCOAT ,INDUS,PKG,,FTE,#N/A
TFI ,INDUS,PKG,,FUTUREPF,#N/A
THIP ,INDUS,PKG,,FVC,#N/A
TMD ,INDUS,PKG,,GAHREIT,#N/A
TOPP ,INDUS,PKG,,GBX,#N/A
TPBI ,INDUS,PKG,,GC,#N/A
TPP ,INDUS,PKG,,GCAP,#N/A
